chunk_size,ensemble_mode,level_cm,episodes,successes,success_rate,ci95_lower,ci95_upper,mean_steps,mean_action_clip_rate,mean_safety_intervention_rate,wrong_object_contact_rate,target_contact_rate,reacquisition_rate_0_5cm,mean_reacquisition_latency_s_0_5cm,mean_grounding_error_after_injection_cm,mean_oldest_prediction_age,mean_temporal_contributors
1,temporal,0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,91.31666666666666,0.05763927056862975,0.045363734224763856,0.0,0.975,,,,0.0,1.0
1,temporal,4,120,102,0.85,0.775324706432755,0.9029618770741527,129.55,0.043074043732168346,0.04567400850373291,0.016666666666666666,0.9833333333333333,0.9333333333333333,0.759375,0.7678483249929873,0.0,1.0
1,latest-only,0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,91.31666666666666,0.05763927056862975,0.045363734224763856,0.0,0.975,,,,0.0,1.0
1,latest-only,4,120,102,0.85,0.775324706432755,0.9029618770741527,129.55,0.043074043732168346,0.04567400850373291,0.016666666666666666,0.9833333333333333,0.9333333333333333,0.759375,0.7678483249929873,0.0,1.0
5,temporal,0,120,117,0.975,0.9290699666721339,0.9914618252300978,87.75,0.05240475758569089,0.04909898949003555,0.008333333333333333,0.9833333333333333,,,,2.180449860705672,3.1804498607056715
5,temporal,4,120,107,0.8916666666666667,0.8234463978470834,0.9355885884582658,123.21666666666667,0.04073484232193088,0.04688073996065444,0.008333333333333333,1.0,0.9083333333333333,0.6660550458715596,0.7570779454222974,2.423629244295597,3.423629244295597
5,latest-only,0,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,91.99166666666666,0.049129019922832175,0.044330579394595525,0.008333333333333333,0.9833333333333333,,,,0.0,1.0
5,latest-only,4,120,106,0.8833333333333333,0.8136664838239611,0.9292188219216995,121.93333333333334,0.04092847757601895,0.0478185359815579,0.008333333333333333,0.9916666666666667,0.925,0.7495495495495496,0.7745251698797609,0.0,1.0
10,temporal,0,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,86.93333333333334,0.06371399176757654,0.042930210360360634,0.0,0.975,,,,4.6893801390147445,5.6893801390147445
10,temporal,4,120,114,0.95,0.8951971146376326,0.9768856355855343,117.45833333333333,0.05043283770398361,0.043454048336277466,0.0,0.9916666666666667,0.9083333333333333,0.718348623853211,0.7584978737124444,5.205232998350579,6.205232998350579
10,latest-only,0,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,87.925,0.0628109273904879,0.04288244858939852,0.0,0.9916666666666667,,,,0.0,1.0
10,latest-only,4,120,111,0.925,0.8635908239400624,0.9600428846040397,112.84166666666667,0.04897905801561711,0.04238729344345877,0.0,0.9916666666666667,0.9166666666666666,0.7622727272727273,0.7720276990442178,0.0,1.0
20,temporal,0,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,86.69166666666666,0.06450995132201637,0.0451355405562404,0.0,0.9916666666666667,,,,8.722871889205972,9.722871889205972
20,temporal,4,120,109,0.9083333333333333,0.843291530273291,0.9480428171514347,123.4,0.04863085563486802,0.04876696498093644,0.0,1.0,0.95,0.7087719298245614,0.7508415298307209,10.366986292879634,11.366986292879634
20,latest-only,0,120,117,0.975,0.9290699666721339,0.9914618252300978,88.275,0.06348534333165737,0.04326573083895223,0.0,0.9833333333333333,,,,0.0,1.0
20,latest-only,4,120,113,0.9416666666666667,0.8844740796636988,0.9714589899997798,115.34166666666667,0.049327430186121485,0.0489085639869498,0.0,1.0,0.925,0.6972972972972973,0.7423688341466737,0.0,1.0
