model,ensemble_mode,level_cm,failure_category,count,rate_over_all_episodes
v2,temporal,0,grasp_failed_after_contact,2,0.016666666666666666
v2,temporal,0,insufficient_push_distance,7,0.058333333333333334
v2,temporal,0,target_not_contacted,1,0.008333333333333333
v2,temporal,0,target_toppled_before_grasp,1,0.008333333333333333
v2,temporal,1,grasp_failed_after_contact,1,0.008333333333333333
v2,temporal,1,insufficient_push_distance,7,0.058333333333333334
v2,temporal,1,object_dropped,1,0.008333333333333333
v2,temporal,1,object_launched,1,0.008333333333333333
v2,temporal,1,target_toppled_before_grasp,1,0.008333333333333333
v2,temporal,2,grasp_failed_after_contact,2,0.016666666666666666
v2,temporal,2,insufficient_push_distance,8,0.06666666666666667
v2,temporal,2,object_dropped,1,0.008333333333333333
v2,temporal,2,target_toppled_before_grasp,1,0.008333333333333333
v2,temporal,2,wrong_object_contact,4,0.03333333333333333
v2,temporal,3,grasp_failed_after_contact,15,0.125
v2,temporal,3,insufficient_push_distance,14,0.11666666666666667
v2,temporal,3,missed_grasp,1,0.008333333333333333
v2,temporal,3,object_dropped,1,0.008333333333333333
v2,temporal,3,object_launched,1,0.008333333333333333
v2,temporal,3,recovery_limit,1,0.008333333333333333
v2,temporal,3,target_not_contacted,1,0.008333333333333333
v2,temporal,3,target_toppled_before_grasp,4,0.03333333333333333
v2,temporal,3,wrong_object_contact,13,0.10833333333333334
v2,temporal,4,grasp_failed_after_contact,31,0.25833333333333336
v2,temporal,4,insufficient_lift,2,0.016666666666666666
v2,temporal,4,insufficient_push_distance,20,0.16666666666666666
v2,temporal,4,missed_grasp,1,0.008333333333333333
v2,temporal,4,object_dropped,2,0.016666666666666666
v2,temporal,4,target_not_contacted,1,0.008333333333333333
v2,temporal,4,target_toppled_before_grasp,4,0.03333333333333333
v2,temporal,4,wrong_object_contact,11,0.09166666666666666
v2,temporal,5,grasp_failed_after_contact,37,0.30833333333333335
v2,temporal,5,gripper_never_closed,1,0.008333333333333333
v2,temporal,5,insufficient_push_distance,27,0.225
v2,temporal,5,missed_grasp,3,0.025
v2,temporal,5,object_dropped,2,0.016666666666666666
v2,temporal,5,recovery_limit,1,0.008333333333333333
v2,temporal,5,target_not_contacted,1,0.008333333333333333
v2,temporal,5,target_toppled_before_grasp,2,0.016666666666666666
v2,temporal,5,workspace_stall,1,0.008333333333333333
v2,temporal,5,wrong_object_contact,12,0.1
v2,temporal,6,grasp_failed_after_contact,35,0.2916666666666667
v2,temporal,6,gripper_never_closed,1,0.008333333333333333
v2,temporal,6,insufficient_push_distance,28,0.23333333333333334
v2,temporal,6,missed_grasp,9,0.075
v2,temporal,6,object_launched,1,0.008333333333333333
v2,temporal,6,recovery_limit,2,0.016666666666666666
v2,temporal,6,target_not_contacted,5,0.041666666666666664
v2,temporal,6,target_toppled_before_grasp,2,0.016666666666666666
v2,temporal,6,workspace_stall,1,0.008333333333333333
v2,temporal,6,wrong_object_contact,10,0.08333333333333333
v2,temporal,7,grasp_failed_after_contact,23,0.19166666666666668
v2,temporal,7,insufficient_push_distance,27,0.225
v2,temporal,7,missed_grasp,19,0.15833333333333333
v2,temporal,7,object_dropped,1,0.008333333333333333
v2,temporal,7,object_launched,2,0.016666666666666666
v2,temporal,7,recovery_limit,2,0.016666666666666666
v2,temporal,7,target_not_contacted,7,0.058333333333333334
v2,temporal,7,target_toppled_before_grasp,2,0.016666666666666666
v2,temporal,7,workspace_stall,1,0.008333333333333333
v2,temporal,7,wrong_object_contact,12,0.1
v2,temporal,8,grasp_failed_after_contact,27,0.225
v2,temporal,8,insufficient_push_distance,22,0.18333333333333332
v2,temporal,8,missed_grasp,16,0.13333333333333333
v2,temporal,8,object_dropped,1,0.008333333333333333
v2,temporal,8,object_launched,1,0.008333333333333333
v2,temporal,8,recovery_limit,4,0.03333333333333333
v2,temporal,8,target_not_contacted,12,0.1
v2,temporal,8,target_not_reached,1,0.008333333333333333
v2,temporal,8,workspace_stall,3,0.025
v2,temporal,8,wrong_object_contact,13,0.10833333333333334
v2,latest-only,0,grasp_failed_after_contact,1,0.008333333333333333
v2,latest-only,0,insufficient_push_distance,8,0.06666666666666667
v2,latest-only,0,object_launched,1,0.008333333333333333
v2,latest-only,0,target_not_contacted,1,0.008333333333333333
v2,latest-only,1,grasp_failed_after_contact,1,0.008333333333333333
v2,latest-only,1,insufficient_push_distance,9,0.075
v2,latest-only,1,object_dropped,1,0.008333333333333333
v2,latest-only,1,object_launched,1,0.008333333333333333
v2,latest-only,1,target_not_contacted,1,0.008333333333333333
v2,latest-only,2,grasp_failed_after_contact,5,0.041666666666666664
v2,latest-only,2,insufficient_push_distance,9,0.075
v2,latest-only,2,recovery_limit,1,0.008333333333333333
v2,latest-only,2,target_not_contacted,1,0.008333333333333333
v2,latest-only,2,target_toppled_before_grasp,2,0.016666666666666666
v2,latest-only,2,wrong_object_contact,4,0.03333333333333333
v2,latest-only,3,grasp_failed_after_contact,16,0.13333333333333333
v2,latest-only,3,insufficient_push_distance,12,0.1
v2,latest-only,3,object_dropped,1,0.008333333333333333
v2,latest-only,3,object_launched,2,0.016666666666666666
v2,latest-only,3,recovery_limit,1,0.008333333333333333
v2,latest-only,3,target_not_contacted,3,0.025
v2,latest-only,3,target_toppled_before_grasp,3,0.025
v2,latest-only,3,wrong_object_contact,9,0.075
v2,latest-only,4,grasp_failed_after_contact,26,0.21666666666666667
v2,latest-only,4,insufficient_lift,1,0.008333333333333333
v2,latest-only,4,insufficient_push_distance,18,0.15
v2,latest-only,4,object_dropped,2,0.016666666666666666
v2,latest-only,4,target_not_contacted,3,0.025
v2,latest-only,4,target_toppled_before_grasp,6,0.05
v2,latest-only,4,wrong_object_contact,12,0.1
v2,latest-only,5,grasp_failed_after_contact,30,0.25
v2,latest-only,5,gripper_never_closed,1,0.008333333333333333
v2,latest-only,5,insufficient_push_distance,25,0.20833333333333334
v2,latest-only,5,missed_grasp,4,0.03333333333333333
v2,latest-only,5,object_dropped,1,0.008333333333333333
v2,latest-only,5,object_launched,3,0.025
v2,latest-only,5,recovery_limit,2,0.016666666666666666
v2,latest-only,5,target_not_contacted,4,0.03333333333333333
v2,latest-only,5,workspace_stall,1,0.008333333333333333
v2,latest-only,5,wrong_object_contact,14,0.11666666666666667
v2,latest-only,6,grasp_failed_after_contact,27,0.225
v2,latest-only,6,gripper_never_closed,1,0.008333333333333333
v2,latest-only,6,insufficient_push_distance,29,0.24166666666666667
v2,latest-only,6,missed_grasp,8,0.06666666666666667
v2,latest-only,6,object_launched,1,0.008333333333333333
v2,latest-only,6,recovery_limit,1,0.008333333333333333
v2,latest-only,6,target_not_contacted,8,0.06666666666666667
v2,latest-only,6,target_toppled_before_grasp,2,0.016666666666666666
v2,latest-only,6,workspace_stall,2,0.016666666666666666
v2,latest-only,6,wrong_object_contact,15,0.125
v2,latest-only,7,grasp_failed_after_contact,29,0.24166666666666667
v2,latest-only,7,insufficient_push_distance,26,0.21666666666666667
v2,latest-only,7,missed_grasp,15,0.125
v2,latest-only,7,target_not_contacted,11,0.09166666666666666
v2,latest-only,7,target_toppled_before_grasp,2,0.016666666666666666
v2,latest-only,7,workspace_stall,1,0.008333333333333333
v2,latest-only,7,wrong_object_contact,11,0.09166666666666666
v2,latest-only,8,grasp_failed_after_contact,31,0.25833333333333336
v2,latest-only,8,insufficient_push_distance,20,0.16666666666666666
v2,latest-only,8,missed_grasp,14,0.11666666666666667
v2,latest-only,8,recovery_limit,3,0.025
v2,latest-only,8,target_not_contacted,14,0.11666666666666667
v2,latest-only,8,target_not_reached,3,0.025
v2,latest-only,8,workspace_stall,3,0.025
v2,latest-only,8,wrong_object_contact,8,0.06666666666666667
v3,temporal,0,insufficient_push_distance,1,0.008333333333333333
v3,temporal,0,recovery_limit,2,0.016666666666666666
v3,temporal,1,insufficient_push_distance,1,0.008333333333333333
v3,temporal,1,recovery_limit,1,0.008333333333333333
v3,temporal,2,insufficient_push_distance,2,0.016666666666666666
v3,temporal,2,recovery_limit,1,0.008333333333333333
v3,temporal,3,insufficient_push_distance,5,0.041666666666666664
v3,temporal,3,lateral_push_error,1,0.008333333333333333
v3,temporal,3,recovery_limit,1,0.008333333333333333
v3,temporal,4,insufficient_push_distance,7,0.058333333333333334
v3,temporal,4,recovery_limit,1,0.008333333333333333
v3,temporal,4,target_not_contacted,1,0.008333333333333333
v3,temporal,4,wrong_object_contact,2,0.016666666666666666
v3,temporal,5,gripper_never_closed,1,0.008333333333333333
v3,temporal,5,insufficient_lift,1,0.008333333333333333
v3,temporal,5,insufficient_push_distance,6,0.05
v3,temporal,5,recovery_limit,4,0.03333333333333333
v3,temporal,5,target_not_contacted,2,0.016666666666666666
v3,temporal,5,wrong_object_contact,1,0.008333333333333333
v3,temporal,6,grasp_failed_after_contact,1,0.008333333333333333
v3,temporal,6,insufficient_lift,1,0.008333333333333333
v3,temporal,6,insufficient_push_distance,7,0.058333333333333334
v3,temporal,6,lateral_push_error,1,0.008333333333333333
