model,ensemble_mode,level_cm,task,episodes,successes,task_success_rate,ci95_lower,ci95_upper
v2,temporal,0,pick_A,20,19,0.95,0.763868806553258,0.9911185511992047
v2,temporal,0,pick_B,20,20,1.0,0.8388748419471806,1.0
v2,temporal,0,pick_C,20,18,0.9,0.6989663547715128,0.9721335187862319
v2,temporal,0,push_A,20,19,0.95,0.763868806553258,0.9911185511992047
v2,temporal,0,push_B,20,17,0.85,0.6395811352592431,0.9476312541037835
v2,temporal,0,push_C,20,16,0.8,0.5839825677481064,0.919342337420202
v2,temporal,1,pick_A,20,19,0.95,0.763868806553258,0.9911185511992047
v2,temporal,1,pick_B,20,20,1.0,0.8388748419471806,1.0
v2,temporal,1,pick_C,20,17,0.85,0.6395811352592431,0.9476312541037835
v2,temporal,1,push_A,20,19,0.95,0.763868806553258,0.9911185511992047
v2,temporal,1,push_B,20,17,0.85,0.6395811352592431,0.9476312541037835
v2,temporal,1,push_C,20,17,0.85,0.6395811352592431,0.9476312541037835
v2,temporal,2,pick_A,20,18,0.9,0.6989663547715128,0.9721335187862319
v2,temporal,2,pick_B,20,20,1.0,0.8388748419471806,1.0
v2,temporal,2,pick_C,20,14,0.7,0.4810271816464765,0.8545227551323956
v2,temporal,2,push_A,20,17,0.85,0.6395811352592431,0.9476312541037835
v2,temporal,2,push_B,20,17,0.85,0.6395811352592431,0.9476312541037835
v2,temporal,2,push_C,20,18,0.9,0.6989663547715128,0.9721335187862319
v2,temporal,3,pick_A,20,13,0.65,0.43285427668523624,0.818808175898918
v2,temporal,3,pick_B,20,8,0.4,0.21880653237281705,0.6134184992377469
v2,temporal,3,pick_C,20,5,0.25,0.11186170140766569,0.468700877618744
v2,temporal,3,push_A,20,13,0.65,0.43285427668523624,0.818808175898918
v2,temporal,3,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
v2,temporal,3,push_C,20,16,0.8,0.5839825677481064,0.919342337420202
v2,temporal,4,pick_A,20,5,0.25,0.11186170140766569,0.468700877618744
v2,temporal,4,pick_B,20,2,0.1,0.027866481213768224,0.3010336452284873
v2,temporal,4,pick_C,20,3,0.15,0.052368745896216595,0.36041886474075696
v2,temporal,4,push_A,20,14,0.7,0.4810271816464765,0.8545227551323956
v2,temporal,4,push_B,20,11,0.55,0.34208534245034233,0.7418021417443759
v2,temporal,4,push_C,20,13,0.65,0.43285427668523624,0.818808175898918
v2,temporal,5,pick_A,20,1,0.05,0.008881448800795402,0.23613119344674205
v2,temporal,5,pick_B,20,1,0.05,0.008881448800795402,0.23613119344674205
v2,temporal,5,pick_C,20,2,0.1,0.027866481213768224,0.3010336452284873
v2,temporal,5,push_A,20,11,0.55,0.34208534245034233,0.7418021417443759
v2,temporal,5,push_B,20,10,0.5,0.2992980081982123,0.7007019918017877
v2,temporal,5,push_C,20,8,0.4,0.21880653237281705,0.6134184992377469
v2,temporal,6,pick_A,20,1,0.05,0.008881448800795402,0.23613119344674205
v2,temporal,6,pick_B,20,1,0.05,0.008881448800795402,0.23613119344674205
v2,temporal,6,pick_C,20,0,0.0,0.0,0.16112515805281938
v2,temporal,6,push_A,20,8,0.4,0.21880653237281705,0.6134184992377469
v2,temporal,6,push_B,20,9,0.45,0.2581978582556243,0.6579146575496577
v2,temporal,6,push_C,20,7,0.35,0.18119182410108206,0.5671457233147638
v2,temporal,7,pick_A,20,1,0.05,0.008881448800795402,0.23613119344674205
v2,temporal,7,pick_B,20,1,0.05,0.008881448800795402,0.23613119344674205
